neighbourhood,listing_count,median_price,snapshot_date
Adlershof,25,97.0,"15 March, 2025"
Albrechtstr.,48,76.0,"15 March, 2025"
Alexanderplatz,674,121.0,"15 March, 2025"
Allende-Viertel,3,42.0,"15 March, 2025"
Alt  Treptow,54,89.5,"15 March, 2025"
Alt-Hohenschönhausen Nord,13,60.0,"15 March, 2025"
Alt-Hohenschönhausen Süd,17,102.0,"15 March, 2025"
Alt-Lichtenberg,29,84.0,"15 March, 2025"
Altglienicke,18,60.0,"15 March, 2025"
Altstadt-Kietz,5,90.0,"15 March, 2025"
Barstraße,35,81.0,"15 March, 2025"
Baumschulenweg,16,55.5,"15 March, 2025"
Biesdorf,26,66.5,"15 March, 2025"
Blankenburg/Heinersdorf/Märchenland,28,64.0,"15 March, 2025"
Blankenfelde/Niederschönhausen,42,81.5,"15 March, 2025"
Bohnsdorf,24,70.5,"15 March, 2025"
Britz,29,65.0,"15 March, 2025"
Brunnenstr. Nord,162,117.5,"15 March, 2025"
Brunnenstr. Süd,405,135.0,"15 March, 2025"
Brunsbütteler Damm,9,64.0,"15 March, 2025"
Buch,10,63.0,"15 March, 2025"
Buchholz,21,80.0,"15 March, 2025"
Buckow,18,85.0,"15 March, 2025"
Buckow Nord,4,58.5,"15 March, 2025"
Charlottenburg Nord,8,54.5,"15 March, 2025"
Dammvorstadt,8,119.5,"15 March, 2025"
Drakestr.,50,90.0,"15 March, 2025"
Düsseldorfer Straße,167,99.0,"15 March, 2025"
Falkenhagener Feld,9,46.0,"15 March, 2025"
Fennpfuhl,8,58.0,"15 March, 2025"
Forst Grunewald,5,171.0,"15 March, 2025"
Frankfurter Allee Nord,157,97.0,"15 March, 2025"
Frankfurter Allee Süd,7,88.0,"15 March, 2025"
Frankfurter Allee Süd FK,468,99.0,"15 March, 2025"
Friedenau,55,98.0,"15 March, 2025"
Friedrichsfelde Nord,25,96.0,"15 March, 2025"
Friedrichsfelde Süd,7,51.0,"15 March, 2025"
Friedrichshagen,29,115.0,"15 March, 2025"
Gatow / Kladow,16,78.0,"15 March, 2025"
Gropiusstadt,4,85.5,"15 March, 2025"
Grunewald,54,106.0,"15 March, 2025"
Grünau,13,77.0,"15 March, 2025"
Hakenfelde,9,95.0,"15 March, 2025"
Halensee,64,85.0,"15 March, 2025"
Haselhorst,9,235.0,"15 March, 2025"
Heerstrasse,22,101.0,"15 March, 2025"
Heerstraße Nord,17,60.0,"15 March, 2025"
Hellersdorf-Nord,7,67.0,"15 March, 2025"
Hellersdorf-Ost,1,29.0,"15 March, 2025"
Hellersdorf-Süd,3,29.0,"15 March, 2025"
Helmholtzplatz,154,99.0,"15 March, 2025"
Johannisthal,25,65.0,"15 March, 2025"
Kantstraße,75,85.0,"15 March, 2025"
Karl-Marx-Allee-Nord,105,99.0,"15 March, 2025"
Karl-Marx-Allee-Süd,161,95.0,"15 March, 2025"
Karlshorst,45,88.0,"15 March, 2025"
Karow,7,81.0,"15 March, 2025"
Kaulsdorf,16,66.0,"15 March, 2025"
Kurfürstendamm,127,98.0,"15 March, 2025"
Kölln. Vorstadt/Spindlersf.,12,65.5,"15 March, 2025"
Köllnische Heide,15,77.0,"15 March, 2025"
Köpenick-Nord,16,76.0,"15 March, 2025"
Köpenick-Süd,8,70.0,"15 March, 2025"
Lankwitz,8,61.5,"15 March, 2025"
Lichtenrade,23,69.0,"15 March, 2025"
MV 1,3,113.0,"15 March, 2025"
MV 2,12,65.5,"15 March, 2025"
Mahlsdorf,21,70.0,"15 March, 2025"
"Malchow, Wartenberg und Falkenberg",5,90.0,"15 March, 2025"
Mariendorf,31,98.0,"15 March, 2025"
Marienfelde,5,70.0,"15 March, 2025"
Marzahn-Mitte,6,54.0,"15 March, 2025"
Marzahn-Nord,1,51.0,"15 March, 2025"
Marzahn-Süd,18,123.0,"15 March, 2025"
Mierendorffplatz,35,85.0,"15 March, 2025"
Moabit Ost,143,82.0,"15 March, 2025"
Moabit West,170,80.5,"15 March, 2025"
Müggelheim,19,100.0,"15 March, 2025"
Neu Lichtenberg,67,70.0,"15 March, 2025"
Neu-Hohenschönhausen Nord,1,34.0,"15 March, 2025"
Neu-Hohenschönhausen Süd,2,73.0,"15 March, 2025"
Neue Kantstraße,87,97.0,"15 March, 2025"
Neuköllner Mitte/Zentrum,175,92.0,"15 March, 2025"
Niederschöneweide,23,88.0,"15 March, 2025"
Nord 1,15,60.0,"15 March, 2025"
Nord 2,11,64.0,"15 March, 2025"
Oberschöneweide,55,77.0,"15 March, 2025"
Osloer Straße,62,70.0,"15 March, 2025"
Ost 1,12,53.0,"15 March, 2025"
Ost 2,31,53.0,"15 March, 2025"
Ostpreußendamm,27,48.0,"15 March, 2025"
Otto-Suhr-Allee,120,97.5,"15 March, 2025"
Pankow Süd,51,76.0,"15 March, 2025"
Pankow Zentrum,51,76.0,"15 March, 2025"
Parkviertel,69,67.0,"15 March, 2025"
Plänterwald,27,84.0,"15 March, 2025"
Prenzlauer Berg Nord,114,90.5,"15 March, 2025"
Prenzlauer Berg Nordwest,170,81.5,"15 March, 2025"
Prenzlauer Berg Ost,72,96.0,"15 March, 2025"
Prenzlauer Berg Süd,192,100.5,"15 March, 2025"
Prenzlauer Berg Südwest,280,123.0,"15 March, 2025"
Rahnsdorf/Hessenwinkel,25,94.0,"15 March, 2025"
Regierungsviertel,97,134.0,"15 March, 2025"
Reuterstraße,195,82.0,"15 March, 2025"
Rixdorf,122,83.0,"15 March, 2025"
Rudow,46,71.0,"15 March, 2025"
Rummelsburger Bucht,36,121.0,"15 March, 2025"
Schillerpromenade,136,92.5,"15 March, 2025"
Schloß Charlottenburg,68,73.5,"15 March, 2025"
Schloßstr.,32,73.5,"15 March, 2025"
Schmargendorf,31,125.0,"15 March, 2025"
Schmöckwitz/Karolinenhof/Rauchfangswerder,27,95.0,"15 March, 2025"
Schöneberg-Nord,220,82.0,"15 March, 2025"
Schöneberg-Süd,161,83.0,"15 March, 2025"
Schönholz/Wilhelmsruh/Rosenthal,18,101.5,"15 March, 2025"
Siemensstadt,9,76.0,"15 March, 2025"
Spandau Mitte,20,96.0,"15 March, 2025"
Südliche Friedrichstadt,173,103.0,"15 March, 2025"
Teltower Damm,26,80.0,"15 March, 2025"
Tempelhof,138,89.5,"15 March, 2025"
Tempelhofer Vorstadt,399,89.0,"15 March, 2025"
Tiergarten Süd,97,125.0,"15 March, 2025"
Volkspark Wilmersdorf,92,83.5,"15 March, 2025"
Wedding Zentrum,103,86.0,"15 March, 2025"
Weißensee,95,93.0,"15 March, 2025"
Weißensee Ost,15,74.0,"15 March, 2025"
West 1,9,81.0,"15 March, 2025"
West 2,14,83.5,"15 March, 2025"
West 3,5,66.0,"15 March, 2025"
West 4,15,71.0,"15 March, 2025"
West 5,13,200.0,"15 March, 2025"
Westend,60,95.0,"15 March, 2025"
Wiesbadener Straße,26,116.0,"15 March, 2025"
Wilhelmstadt,15,90.0,"15 March, 2025"
Zehlendorf  Nord,46,80.5,"15 March, 2025"
Zehlendorf  Südwest,28,94.0,"15 March, 2025"
nördliche Luisenstadt,142,90.0,"15 March, 2025"
südliche Luisenstadt,227,96.0,"15 March, 2025"
Adlershof,33,110.0,"20 June, 2025"
Albrechtstr.,53,82.0,"20 June, 2025"
Alexanderplatz,718,154.0,"20 June, 2025"
Allende-Viertel,3,50.0,"20 June, 2025"
Alt  Treptow,53,104.0,"20 June, 2025"
Alt-Hohenschönhausen Nord,12,60.5,"20 June, 2025"
Alt-Hohenschönhausen Süd,12,117.5,"20 June, 2025"
Alt-Lichtenberg,34,104.5,"20 June, 2025"
Altglienicke,17,62.0,"20 June, 2025"
Altstadt-Kietz,6,90.0,"20 June, 2025"
Barstraße,29,97.0,"20 June, 2025"
Baumschulenweg,20,76.0,"20 June, 2025"
Biesdorf,29,70.0,"20 June, 2025"
Blankenburg/Heinersdorf/Märchenland,29,71.0,"20 June, 2025"
Blankenfelde/Niederschönhausen,43,93.0,"20 June, 2025"
Bohnsdorf,25,68.0,"20 June, 2025"
Britz,31,85.0,"20 June, 2025"
Brunnenstr. Nord,170,157.0,"20 June, 2025"
Brunnenstr. Süd,388,159.5,"20 June, 2025"
Brunsbütteler Damm,10,97.5,"20 June, 2025"
Buch,11,59.0,"20 June, 2025"
Buchholz,25,85.0,"20 June, 2025"
Buckow,20,70.0,"20 June, 2025"
Buckow Nord,3,67.0,"20 June, 2025"
Charlottenburg Nord,9,60.0,"20 June, 2025"
Dammvorstadt,9,94.0,"20 June, 2025"
Drakestr.,56,95.0,"20 June, 2025"
Düsseldorfer Straße,174,125.5,"20 June, 2025"
Falkenhagener Feld,10,49.5,"20 June, 2025"
Fennpfuhl,9,60.0,"20 June, 2025"
Forst Grunewald,5,140.0,"20 June, 2025"
Frankfurter Allee Nord,168,113.0,"20 June, 2025"
Frankfurter Allee Süd,6,82.0,"20 June, 2025"
Frankfurter Allee Süd FK,478,111.0,"20 June, 2025"
Friedenau,59,106.0,"20 June, 2025"
Friedrichsfelde Nord,24,95.0,"20 June, 2025"
Friedrichsfelde Süd,7,52.0,"20 June, 2025"
Friedrichshagen,30,123.0,"20 June, 2025"
Gatow / Kladow,18,83.0,"20 June, 2025"
Gropiusstadt,8,72.0,"20 June, 2025"
Grunewald,51,108.0,"20 June, 2025"
Grünau,16,77.5,"20 June, 2025"
Hakenfelde,9,91.0,"20 June, 2025"
Halensee,58,86.0,"20 June, 2025"
Haselhorst,6,236.5,"20 June, 2025"
Heerstrasse,27,84.0,"20 June, 2025"
Heerstraße Nord,20,60.0,"20 June, 2025"
Hellersdorf-Nord,9,67.0,"20 June, 2025"
Hellersdorf-Ost,1,29.0,"20 June, 2025"
Hellersdorf-Süd,3,29.0,"20 June, 2025"
Helmholtzplatz,158,117.0,"20 June, 2025"
Johannisthal,28,65.0,"20 June, 2025"
Kantstraße,75,93.0,"20 June, 2025"
Karl-Marx-Allee-Nord,103,114.0,"20 June, 2025"
Karl-Marx-Allee-Süd,179,120.0,"20 June, 2025"
Karlshorst,47,131.0,"20 June, 2025"
Karow,6,85.5,"20 June, 2025"
Kaulsdorf,16,75.5,"20 June, 2025"
Kurfürstendamm,134,138.5,"20 June, 2025"
Kölln. Vorstadt/Spindlersf.,15,90.0,"20 June, 2025"
Köllnische Heide,15,91.0,"20 June, 2025"
Köpenick-Nord,15,66.0,"20 June, 2025"
Köpenick-Süd,8,59.5,"20 June, 2025"
Lankwitz,10,64.5,"20 June, 2025"
Lichtenrade,24,70.0,"20 June, 2025"
MV 1,3,123.0,"20 June, 2025"
MV 2,9,52.0,"20 June, 2025"
Mahlsdorf,22,74.0,"20 June, 2025"
"Malchow, Wartenberg und Falkenberg",6,100.0,"20 June, 2025"
Mariendorf,31,95.0,"20 June, 2025"
Marienfelde,10,70.5,"20 June, 2025"
Marzahn-Mitte,7,50.0,"20 June, 2025"
Marzahn-Nord,1,45.0,"20 June, 2025"
Marzahn-Süd,18,121.0,"20 June, 2025"
Mierendorffplatz,38,89.0,"20 June, 2025"
Moabit Ost,144,100.0,"20 June, 2025"
Moabit West,158,93.0,"20 June, 2025"
Müggelheim,19,119.0,"20 June, 2025"
Neu Lichtenberg,65,93.0,"20 June, 2025"
Neu-Hohenschönhausen Nord,1,33.0,"20 June, 2025"
Neu-Hohenschönhausen Süd,1,44.0,"20 June, 2025"
Neue Kantstraße,97,114.0,"20 June, 2025"
Neuköllner Mitte/Zentrum,166,101.5,"20 June, 2025"
Niederschöneweide,23,91.0,"20 June, 2025"
Nord 1,19,60.0,"20 June, 2025"
Nord 2,11,75.0,"20 June, 2025"
Oberschöneweide,55,89.0,"20 June, 2025"
Osloer Straße,62,76.0,"20 June, 2025"
Ost 1,19,70.0,"20 June, 2025"
Ost 2,30,59.0,"20 June, 2025"
Ostpreußendamm,22,55.5,"20 June, 2025"
Otto-Suhr-Allee,121,107.0,"20 June, 2025"
Pankow Süd,64,85.0,"20 June, 2025"
Pankow Zentrum,55,104.0,"20 June, 2025"
Parkviertel,75,80.0,"20 June, 2025"
Plänterwald,28,120.5,"20 June, 2025"
Prenzlauer Berg Nord,128,107.0,"20 June, 2025"
Prenzlauer Berg Nordwest,183,108.0,"20 June, 2025"
Prenzlauer Berg Ost,73,120.0,"20 June, 2025"
Prenzlauer Berg Süd,188,131.5,"20 June, 2025"
Prenzlauer Berg Südwest,285,151.0,"20 June, 2025"
Rahnsdorf/Hessenwinkel,29,112.0,"20 June, 2025"
Regierungsviertel,95,167.0,"20 June, 2025"
Reuterstraße,198,90.0,"20 June, 2025"
Rixdorf,117,91.0,"20 June, 2025"
Rudow,49,77.0,"20 June, 2025"
Rummelsburger Bucht,35,117.0,"20 June, 2025"
Schillerpromenade,126,111.5,"20 June, 2025"
Schloß Charlottenburg,73,80.0,"20 June, 2025"
Schloßstr.,38,85.0,"20 June, 2025"
Schmargendorf,30,129.0,"20 June, 2025"
Schmöckwitz/Karolinenhof/Rauchfangswerder,30,111.0,"20 June, 2025"
Schöneberg-Nord,205,95.0,"20 June, 2025"
Schöneberg-Süd,161,101.0,"20 June, 2025"
Schönholz/Wilhelmsruh/Rosenthal,21,109.0,"20 June, 2025"
Siemensstadt,8,74.0,"20 June, 2025"
Spandau Mitte,21,126.0,"20 June, 2025"
Südliche Friedrichstadt,172,139.0,"20 June, 2025"
Teltower Damm,29,85.0,"20 June, 2025"
Tempelhof,143,101.0,"20 June, 2025"
Tempelhofer Vorstadt,429,105.0,"20 June, 2025"
Tiergarten Süd,118,151.0,"20 June, 2025"
Volkspark Wilmersdorf,85,102.0,"20 June, 2025"
Wedding Zentrum,115,98.0,"20 June, 2025"
Weißensee,102,91.5,"20 June, 2025"
Weißensee Ost,16,82.0,"20 June, 2025"
West 1,12,78.5,"20 June, 2025"
West 2,13,72.0,"20 June, 2025"
West 3,5,69.0,"20 June, 2025"
West 4,15,69.0,"20 June, 2025"
West 5,15,249.0,"20 June, 2025"
Westend,59,97.0,"20 June, 2025"
Wiesbadener Straße,27,129.0,"20 June, 2025"
Wilhelmstadt,17,120.0,"20 June, 2025"
Zehlendorf  Nord,45,77.0,"20 June, 2025"
Zehlendorf  Südwest,30,95.0,"20 June, 2025"
nördliche Luisenstadt,150,94.5,"20 June, 2025"
südliche Luisenstadt,236,108.5,"20 June, 2025"
Adlershof,34,91.5,"21 December, 2024"
Albrechtstr.,61,80.0,"21 December, 2024"
Alexanderplatz,689,120.0,"21 December, 2024"
