date,review_count,snapshot_date
2009-06-30,1,"15 March, 2025"
2009-07-31,0,"15 March, 2025"
2009-08-31,0,"15 March, 2025"
2009-09-30,0,"15 March, 2025"
2009-10-31,0,"15 March, 2025"
2009-11-30,0,"15 March, 2025"
2009-12-31,0,"15 March, 2025"
2010-01-31,0,"15 March, 2025"
2010-02-28,1,"15 March, 2025"
2010-03-31,0,"15 March, 2025"
2010-04-30,0,"15 March, 2025"
2010-05-31,0,"15 March, 2025"
2010-06-30,4,"15 March, 2025"
2010-07-31,4,"15 March, 2025"
2010-08-31,4,"15 March, 2025"
2010-09-30,14,"15 March, 2025"
2010-10-31,10,"15 March, 2025"
2010-11-30,10,"15 March, 2025"
2010-12-31,8,"15 March, 2025"
2011-01-31,12,"15 March, 2025"
2011-02-28,8,"15 March, 2025"
2011-03-31,10,"15 March, 2025"
2011-04-30,13,"15 March, 2025"
2011-05-31,19,"15 March, 2025"
2011-06-30,19,"15 March, 2025"
2011-07-31,21,"15 March, 2025"
2011-08-31,20,"15 March, 2025"
2011-09-30,25,"15 March, 2025"
2011-10-31,32,"15 March, 2025"
2011-11-30,29,"15 March, 2025"
2011-12-31,27,"15 March, 2025"
2012-01-31,39,"15 March, 2025"
2012-02-29,31,"15 March, 2025"
2012-03-31,32,"15 March, 2025"
2012-04-30,64,"15 March, 2025"
2012-05-31,91,"15 March, 2025"
2012-06-30,88,"15 March, 2025"
2012-07-31,127,"15 March, 2025"
2012-08-31,130,"15 March, 2025"
2012-09-30,149,"15 March, 2025"
2012-10-31,169,"15 March, 2025"
2012-11-30,121,"15 March, 2025"
2012-12-31,120,"15 March, 2025"
2013-01-31,121,"15 March, 2025"
2013-02-28,89,"15 March, 2025"
2013-03-31,145,"15 March, 2025"
2013-04-30,195,"15 March, 2025"
2013-05-31,239,"15 March, 2025"
2013-06-30,224,"15 March, 2025"
2013-07-31,296,"15 March, 2025"
2013-08-31,316,"15 March, 2025"
2013-09-30,316,"15 March, 2025"
2013-10-31,328,"15 March, 2025"
2013-11-30,255,"15 March, 2025"
2013-12-31,226,"15 March, 2025"
2014-01-31,266,"15 March, 2025"
2014-02-28,222,"15 March, 2025"
2014-03-31,305,"15 March, 2025"
2014-04-30,401,"15 March, 2025"
2014-05-31,501,"15 March, 2025"
2014-06-30,541,"15 March, 2025"
2014-07-31,619,"15 March, 2025"
2014-08-31,643,"15 March, 2025"
2014-09-30,758,"15 March, 2025"
2014-10-31,761,"15 March, 2025"
2014-11-30,621,"15 March, 2025"
2014-12-31,575,"15 March, 2025"
2015-01-31,606,"15 March, 2025"
2015-02-28,538,"15 March, 2025"
2015-03-31,715,"15 March, 2025"
2015-04-30,868,"15 March, 2025"
2015-05-31,1143,"15 March, 2025"
2015-06-30,1260,"15 March, 2025"
2015-07-31,1301,"15 March, 2025"
2015-08-31,1365,"15 March, 2025"
2015-09-30,1574,"15 March, 2025"
2015-10-31,1476,"15 March, 2025"
2015-11-30,1070,"15 March, 2025"
2015-12-31,1036,"15 March, 2025"
2016-01-31,1185,"15 March, 2025"
2016-02-29,1157,"15 March, 2025"
2016-03-31,1408,"15 March, 2025"
2016-04-30,1586,"15 March, 2025"
2016-05-31,1910,"15 March, 2025"
2016-06-30,1759,"15 March, 2025"
2016-07-31,2042,"15 March, 2025"
2016-08-31,2009,"15 March, 2025"
2016-09-30,2450,"15 March, 2025"
2016-10-31,2101,"15 March, 2025"
2016-11-30,1708,"15 March, 2025"
2016-12-31,1601,"15 March, 2025"
2017-01-31,1807,"15 March, 2025"
2017-02-28,1635,"15 March, 2025"
2017-03-31,2009,"15 March, 2025"
2017-04-30,2534,"15 March, 2025"
2017-05-31,2930,"15 March, 2025"
2017-06-30,2897,"15 March, 2025"
2017-07-31,3385,"15 March, 2025"
2017-08-31,3043,"15 March, 2025"
2017-09-30,3472,"15 March, 2025"
2017-10-31,3188,"15 March, 2025"
2017-11-30,2196,"15 March, 2025"
2017-12-31,2108,"15 March, 2025"
2018-01-31,2360,"15 March, 2025"
2018-02-28,2314,"15 March, 2025"
2018-03-31,2791,"15 March, 2025"
2018-04-30,3293,"15 March, 2025"
2018-05-31,3924,"15 March, 2025"
2018-06-30,3967,"15 March, 2025"
2018-07-31,4457,"15 March, 2025"
2018-08-31,4551,"15 March, 2025"
2018-09-30,5302,"15 March, 2025"
2018-10-31,4874,"15 March, 2025"
2018-11-30,3903,"15 March, 2025"
2018-12-31,3689,"15 March, 2025"
2019-01-31,3706,"15 March, 2025"
2019-02-28,3690,"15 March, 2025"
2019-03-31,4555,"15 March, 2025"
2019-04-30,5196,"15 March, 2025"
2019-05-31,5716,"15 March, 2025"
2019-06-30,6009,"15 March, 2025"
2019-07-31,5683,"15 March, 2025"
2019-08-31,5715,"15 March, 2025"
2019-09-30,6703,"15 March, 2025"
2019-10-31,6008,"15 March, 2025"
2019-11-30,4886,"15 March, 2025"
2019-12-31,4618,"15 March, 2025"
2020-01-31,4550,"15 March, 2025"
2020-02-29,4674,"15 March, 2025"
2020-03-31,2890,"15 March, 2025"
2020-04-30,327,"15 March, 2025"
2020-05-31,686,"15 March, 2025"
2020-06-30,1688,"15 March, 2025"
2020-07-31,3002,"15 March, 2025"
2020-08-31,4203,"15 March, 2025"
2020-09-30,3206,"15 March, 2025"
2020-10-31,2623,"15 March, 2025"
2020-11-30,1194,"15 March, 2025"
2020-12-31,928,"15 March, 2025"
2021-01-31,815,"15 March, 2025"
2021-02-28,876,"15 March, 2025"
2021-03-31,1282,"15 March, 2025"
2021-04-30,1305,"15 March, 2025"
2021-05-31,2036,"15 March, 2025"
2021-06-30,2782,"15 March, 2025"
2021-07-31,4475,"15 March, 2025"
2021-08-31,6285,"15 March, 2025"
2021-09-30,5588,"15 March, 2025"
2021-10-31,6172,"15 March, 2025"
2021-11-30,5676,"15 March, 2025"
2021-12-31,4139,"15 March, 2025"
2022-01-31,3672,"15 March, 2025"
2022-02-28,3709,"15 March, 2025"
2022-03-31,5015,"15 March, 2025"
2022-04-30,6792,"15 March, 2025"
2022-05-31,7770,"15 March, 2025"
2022-06-30,7995,"15 March, 2025"
2022-07-31,8853,"15 March, 2025"
2022-08-31,8359,"15 March, 2025"
2022-09-30,8708,"15 March, 2025"
2022-10-31,8273,"15 March, 2025"
2022-11-30,6824,"15 March, 2025"
2022-12-31,5753,"15 March, 2025"
2023-01-31,5806,"15 March, 2025"
2023-02-28,6021,"15 March, 2025"
2023-03-31,6905,"15 March, 2025"
2023-04-30,8240,"15 March, 2025"
2023-05-31,9452,"15 March, 2025"
2023-06-30,9675,"15 March, 2025"
2023-07-31,10309,"15 March, 2025"
2023-08-31,9219,"15 March, 2025"
2023-09-30,10574,"15 March, 2025"
2023-10-31,10230,"15 March, 2025"
2023-11-30,7479,"15 March, 2025"
2023-12-31,7263,"15 March, 2025"
2024-01-31,6418,"15 March, 2025"
2024-02-29,7056,"15 March, 2025"
2024-03-31,8858,"15 March, 2025"
2024-04-30,10347,"15 March, 2025"
2024-05-31,11967,"15 March, 2025"
2024-06-30,13849,"15 March, 2025"
2024-07-31,13564,"15 March, 2025"
2024-08-31,12168,"15 March, 2025"
2024-09-30,14226,"15 March, 2025"
2024-10-31,12638,"15 March, 2025"
2024-11-30,9557,"15 March, 2025"
2024-12-31,9397,"15 March, 2025"
2025-01-31,8114,"15 March, 2025"
2025-02-28,9429,"15 March, 2025"
2025-03-31,3269,"15 March, 2025"
2009-06-30,1,"20 June, 2025"
2009-07-31,0,"20 June, 2025"
2009-08-31,0,"20 June, 2025"
2009-09-30,0,"20 June, 2025"
2009-10-31,0,"20 June, 2025"
2009-11-30,0,"20 June, 2025"
2009-12-31,0,"20 June, 2025"
2010-01-31,0,"20 June, 2025"
2010-02-28,1,"20 June, 2025"
2010-03-31,0,"20 June, 2025"
2010-04-30,0,"20 June, 2025"
2010-05-31,0,"20 June, 2025"
2010-06-30,4,"20 June, 2025"
2010-07-31,4,"20 June, 2025"
2010-08-31,5,"20 June, 2025"
2010-09-30,14,"20 June, 2025"
2010-10-31,10,"20 June, 2025"
2010-11-30,10,"20 June, 2025"
2010-12-31,8,"20 June, 2025"
2011-01-31,13,"20 June, 2025"
2011-02-28,8,"20 June, 2025"
2011-03-31,11,"20 June, 2025"
2011-04-30,13,"20 June, 2025"
2011-05-31,20,"20 June, 2025"
2011-06-30,20,"20 June, 2025"
2011-07-31,22,"20 June, 2025"
2011-08-31,16,"20 June, 2025"
2011-09-30,26,"20 June, 2025"
2011-10-31,32,"20 June, 2025"
2011-11-30,23,"20 June, 2025"
2011-12-31,24,"20 June, 2025"
2012-01-31,33,"20 June, 2025"
2012-02-29,27,"20 June, 2025"
2012-03-31,27,"20 June, 2025"
2012-04-30,56,"20 June, 2025"
2012-05-31,80,"20 June, 2025"
2012-06-30,74,"20 June, 2025"
2012-07-31,114,"20 June, 2025"
2012-08-31,102,"20 June, 2025"
2012-09-30,127,"20 June, 2025"
2012-10-31,141,"20 June, 2025"
2012-11-30,98,"20 June, 2025"
2012-12-31,102,"20 June, 2025"
2013-01-31,96,"20 June, 2025"
2013-02-28,71,"20 June, 2025"
2013-03-31,118,"20 June, 2025"
2013-04-30,164,"20 June, 2025"
2013-05-31,220,"20 June, 2025"
2013-06-30,193,"20 June, 2025"
2013-07-31,273,"20 June, 2025"
2013-08-31,292,"20 June, 2025"
2013-09-30,287,"20 June, 2025"
2013-10-31,305,"20 June, 2025"
2013-11-30,229,"20 June, 2025"
2013-12-31,204,"20 June, 2025"
2014-01-31,240,"20 June, 2025"
2014-02-28,201,"20 June, 2025"
2014-03-31,270,"20 June, 2025"
2014-04-30,370,"20 June, 2025"
2014-05-31,463,"20 June, 2025"
2014-06-30,500,"20 June, 2025"
2014-07-31,574,"20 June, 2025"
2014-08-31,595,"20 June, 2025"
2014-09-30,705,"20 June, 2025"
2014-10-31,700,"20 June, 2025"
2014-11-30,576,"20 June, 2025"
2014-12-31,539,"20 June, 2025"
2015-01-31,558,"20 June, 2025"
2015-02-28,511,"20 June, 2025"
2015-03-31,682,"20 June, 2025"
2015-04-30,818,"20 June, 2025"
2015-05-31,1085,"20 June, 2025"
2015-06-30,1200,"20 June, 2025"
2015-07-31,1246,"20 June, 2025"
2015-08-31,1300,"20 June, 2025"
2015-09-30,1467,"20 June, 2025"
2015-10-31,1387,"20 June, 2025"
2015-11-30,1034,"20 June, 2025"
2015-12-31,995,"20 June, 2025"
2016-01-31,1136,"20 June, 2025"
2016-02-29,1099,"20 June, 2025"
2016-03-31,1352,"20 June, 2025"
2016-04-30,1532,"20 June, 2025"
2016-05-31,1827,"20 June, 2025"
2016-06-30,1697,"20 June, 2025"
2016-07-31,1984,"20 June, 2025"
2016-08-31,1922,"20 June, 2025"
2016-09-30,2351,"20 June, 2025"
2016-10-31,2000,"20 June, 2025"
2016-11-30,1614,"20 June, 2025"
2016-12-31,1530,"20 June, 2025"
2017-01-31,1724,"20 June, 2025"
2017-02-28,1566,"20 June, 2025"
2017-03-31,1933,"20 June, 2025"
2017-04-30,2443,"20 June, 2025"
2017-05-31,2790,"20 June, 2025"
2017-06-30,2792,"20 June, 2025"
2017-07-31,3253,"20 June, 2025"
2017-08-31,2935,"20 June, 2025"
2017-09-30,3325,"20 June, 2025"
2017-10-31,3048,"20 June, 2025"
2017-11-30,2078,"20 June, 2025"
2017-12-31,2020,"20 June, 2025"
2018-01-31,2251,"20 June, 2025"
