room_type,percentage,snapshot_date
Entire home/apt,73.80310182063386,"15 March, 2025"
Private room,24.38750280962014,"15 March, 2025"
Hotel room,1.0002247696111486,"15 March, 2025"
Shared room,0.8091706001348618,"15 March, 2025"
Entire home/apt,73.59250789502342,"20 June, 2025"
Private room,24.30578242404443,"20 June, 2025"
Shared room,1.0671893716650334,"20 June, 2025"
Hotel room,1.034520309267124,"20 June, 2025"
Entire home/apt,74.44938820912125,"21 December, 2024"
Private room,24.07119021134594,"21 December, 2024"
Hotel room,1.0344827586206897,"21 December, 2024"
Shared room,0.44493882091212456,"21 December, 2024"
Entire home/apt,73.46718480138169,"23 September, 2025"
Private room,24.39550949913644,"23 September, 2025"
Hotel room,1.0902417962003454,"23 September, 2025"
Shared room,1.0470639032815199,"23 September, 2025"
