neighbourhood,listing_count,median_price,snapshot_date
Anderlecht,339,79.0,"16 March, 2025"
Auderghem,74,85.5,"16 March, 2025"
Berchem-Sainte-Agathe,34,87.5,"16 March, 2025"
Bruxelles,1654,95.0,"16 March, 2025"
Etterbeek,285,82.0,"16 March, 2025"
Evere,72,75.0,"16 March, 2025"
Forest,308,81.0,"16 March, 2025"
Ganshoren,32,80.5,"16 March, 2025"
Ixelles,786,86.0,"16 March, 2025"
Jette,88,69.0,"16 March, 2025"
Koekelberg,66,73.5,"16 March, 2025"
Molenbeek-Saint-Jean,180,77.0,"16 March, 2025"
Saint-Gilles,558,81.0,"16 March, 2025"
Saint-Josse-ten-Noode,182,75.0,"16 March, 2025"
Schaerbeek,350,75.0,"16 March, 2025"
Uccle,276,87.0,"16 March, 2025"
Watermael-Boitsfort,64,74.5,"16 March, 2025"
Woluwe-Saint-Lambert,123,81.0,"16 March, 2025"
Woluwe-Saint-Pierre,55,94.0,"16 March, 2025"
Anderlecht,330,81.0,"21 June, 2025"
Auderghem,90,85.0,"21 June, 2025"
Berchem-Sainte-Agathe,39,87.0,"21 June, 2025"
Bruxelles,1624,98.0,"21 June, 2025"
Etterbeek,313,84.0,"21 June, 2025"
Evere,81,77.0,"21 June, 2025"
Forest,337,87.0,"21 June, 2025"
Ganshoren,24,81.0,"21 June, 2025"
Ixelles,856,88.0,"21 June, 2025"
Jette,93,78.0,"21 June, 2025"
Koekelberg,58,79.5,"21 June, 2025"
Molenbeek-Saint-Jean,196,81.0,"21 June, 2025"
Saint-Gilles,562,78.0,"21 June, 2025"
Saint-Josse-ten-Noode,168,68.0,"21 June, 2025"
Schaerbeek,377,79.0,"21 June, 2025"
Uccle,266,94.5,"21 June, 2025"
Watermael-Boitsfort,64,87.0,"21 June, 2025"
Woluwe-Saint-Lambert,129,85.0,"21 June, 2025"
Woluwe-Saint-Pierre,57,105.0,"21 June, 2025"
Anderlecht,310,91.5,"22 December, 2024"
Auderghem,75,88.0,"22 December, 2024"
Berchem-Sainte-Agathe,37,90.0,"22 December, 2024"
Bruxelles,1721,110.0,"22 December, 2024"
Etterbeek,295,85.0,"22 December, 2024"
Evere,80,78.5,"22 December, 2024"
Forest,315,87.0,"22 December, 2024"
Ganshoren,30,96.5,"22 December, 2024"
Ixelles,814,96.0,"22 December, 2024"
Jette,81,77.0,"22 December, 2024"
Koekelberg,56,94.5,"22 December, 2024"
Molenbeek-Saint-Jean,185,85.0,"22 December, 2024"
Saint-Gilles,557,87.0,"22 December, 2024"
Saint-Josse-ten-Noode,201,80.0,"22 December, 2024"
Schaerbeek,349,85.0,"22 December, 2024"
Uccle,274,98.5,"22 December, 2024"
Watermael-Boitsfort,68,90.0,"22 December, 2024"
Woluwe-Saint-Lambert,135,89.0,"22 December, 2024"
Woluwe-Saint-Pierre,57,100.0,"22 December, 2024"
