date,review_count,snapshot_date
2010-11-30,2,"16 March, 2025"
2010-12-31,0,"16 March, 2025"
2011-01-31,0,"16 March, 2025"
2011-02-28,1,"16 March, 2025"
2011-03-31,3,"16 March, 2025"
2011-04-30,0,"16 March, 2025"
2011-05-31,11,"16 March, 2025"
2011-06-30,9,"16 March, 2025"
2011-07-31,1,"16 March, 2025"
2011-08-31,5,"16 March, 2025"
2011-09-30,15,"16 March, 2025"
2011-10-31,6,"16 March, 2025"
2011-11-30,7,"16 March, 2025"
2011-12-31,2,"16 March, 2025"
2012-01-31,3,"16 March, 2025"
2012-02-29,2,"16 March, 2025"
2012-03-31,7,"16 March, 2025"
2012-04-30,5,"16 March, 2025"
2012-05-31,11,"16 March, 2025"
2012-06-30,10,"16 March, 2025"
2012-07-31,9,"16 March, 2025"
2012-08-31,11,"16 March, 2025"
2012-09-30,19,"16 March, 2025"
2012-10-31,30,"16 March, 2025"
2012-11-30,25,"16 March, 2025"
2012-12-31,24,"16 March, 2025"
2013-01-31,16,"16 March, 2025"
2013-02-28,20,"16 March, 2025"
2013-03-31,37,"16 March, 2025"
2013-04-30,42,"16 March, 2025"
2013-05-31,39,"16 March, 2025"
2013-06-30,40,"16 March, 2025"
2013-07-31,48,"16 March, 2025"
2013-08-31,34,"16 March, 2025"
2013-09-30,68,"16 March, 2025"
2013-10-31,83,"16 March, 2025"
2013-11-30,75,"16 March, 2025"
2013-12-31,64,"16 March, 2025"
2014-01-31,70,"16 March, 2025"
2014-02-28,65,"16 March, 2025"
2014-03-31,102,"16 March, 2025"
2014-04-30,123,"16 March, 2025"
2014-05-31,154,"16 March, 2025"
2014-06-30,144,"16 March, 2025"
2014-07-31,137,"16 March, 2025"
2014-08-31,155,"16 March, 2025"
2014-09-30,182,"16 March, 2025"
2014-10-31,234,"16 March, 2025"
2014-11-30,238,"16 March, 2025"
2014-12-31,245,"16 March, 2025"
2015-01-31,192,"16 March, 2025"
2015-02-28,209,"16 March, 2025"
2015-03-31,275,"16 March, 2025"
2015-04-30,345,"16 March, 2025"
2015-05-31,423,"16 March, 2025"
2015-06-30,473,"16 March, 2025"
2015-07-31,431,"16 March, 2025"
2015-08-31,413,"16 March, 2025"
2015-09-30,515,"16 March, 2025"
2015-10-31,613,"16 March, 2025"
2015-11-30,406,"16 March, 2025"
2015-12-31,384,"16 March, 2025"
2016-01-31,410,"16 March, 2025"
2016-02-29,439,"16 March, 2025"
2016-03-31,417,"16 March, 2025"
2016-04-30,416,"16 March, 2025"
2016-05-31,483,"16 March, 2025"
2016-06-30,495,"16 March, 2025"
2016-07-31,477,"16 March, 2025"
2016-08-31,471,"16 March, 2025"
2016-09-30,556,"16 March, 2025"
2016-10-31,716,"16 March, 2025"
2016-11-30,676,"16 March, 2025"
2016-12-31,739,"16 March, 2025"
2017-01-31,642,"16 March, 2025"
2017-02-28,696,"16 March, 2025"
2017-03-31,781,"16 March, 2025"
2017-04-30,948,"16 March, 2025"
2017-05-31,931,"16 March, 2025"
2017-06-30,914,"16 March, 2025"
2017-07-31,800,"16 March, 2025"
2017-08-31,712,"16 March, 2025"
2017-09-30,934,"16 March, 2025"
2017-10-31,984,"16 March, 2025"
2017-11-30,788,"16 March, 2025"
