room_type,percentage,snapshot_date
Entire home/apt,74.53854505971769,"16 March, 2025"
Private room,24.773796597900834,"16 March, 2025"
Shared room,0.3800217155266015,"16 March, 2025"
Hotel room,0.3076366268548679,"16 March, 2025"
Entire home/apt,74.06426553672316,"21 June, 2025"
Private room,25.4590395480226,"21 June, 2025"
Shared room,0.31779661016949157,"21 June, 2025"
Hotel room,0.15889830508474578,"21 June, 2025"
Entire home/apt,74.23758865248227,"22 December, 2024"
Private room,25.407801418439718,"22 December, 2024"
Hotel room,0.26595744680851063,"22 December, 2024"
Shared room,0.08865248226950355,"22 December, 2024"
