neighbourhood,listing_count,median_price,snapshot_date
Batignolles-Monceau,3735,140.0,"03 March, 2025"
Bourse,2224,176.0,"03 March, 2025"
Buttes-Chaumont,2668,108.0,"03 March, 2025"
Buttes-Montmartre,5503,120.0,"03 March, 2025"
Entrepôt,3619,135.0,"03 March, 2025"
Gobelins,1672,115.0,"03 March, 2025"
Hôtel-de-Ville,1951,182.0,"03 March, 2025"
Louvre,1459,212.0,"03 March, 2025"
Luxembourg,1880,200.0,"03 March, 2025"
Ménilmontant,2614,102.0,"03 March, 2025"
Observatoire,1966,128.0,"03 March, 2025"
Opéra,2876,167.0,"03 March, 2025"
Palais-Bourbon,1808,200.0,"03 March, 2025"
Panthéon,1880,169.5,"03 March, 2025"
Passy,3983,186.0,"03 March, 2025"
Popincourt,4578,130.0,"03 March, 2025"
Reuilly,2091,118.0,"03 March, 2025"
Temple,2720,180.0,"03 March, 2025"
Vaugirard,4229,140.0,"03 March, 2025"
Élysée,2145,225.0,"03 March, 2025"
Batignolles-Monceau,4143,150.0,"06 December, 2024"
Bourse,2418,172.0,"06 December, 2024"
Buttes-Chaumont,3015,113.0,"06 December, 2024"
Buttes-Montmartre,5983,122.0,"06 December, 2024"
Entrepôt,3931,140.0,"06 December, 2024"
Gobelins,1813,120.0,"06 December, 2024"
Hôtel-de-Ville,2032,183.0,"06 December, 2024"
Louvre,1581,205.0,"06 December, 2024"
Luxembourg,1959,199.0,"06 December, 2024"
Ménilmontant,2840,109.0,"06 December, 2024"
Observatoire,2123,130.0,"06 December, 2024"
Opéra,3077,174.0,"06 December, 2024"
Palais-Bourbon,1971,200.0,"06 December, 2024"
Panthéon,1976,170.0,"06 December, 2024"
Passy,4282,190.0,"06 December, 2024"
Popincourt,4894,131.5,"06 December, 2024"
Reuilly,2168,120.0,"06 December, 2024"
Temple,2863,180.0,"06 December, 2024"
Vaugirard,4668,149.0,"06 December, 2024"
Élysée,2309,226.0,"06 December, 2024"
Batignolles-Monceau,3705,153.0,"06 June, 2025"
Bourse,2252,210.0,"06 June, 2025"
Buttes-Chaumont,2655,116.0,"06 June, 2025"
Buttes-Montmartre,5172,125.0,"06 June, 2025"
Entrepôt,3411,150.0,"06 June, 2025"
Gobelins,1605,125.0,"06 June, 2025"
Hôtel-de-Ville,1891,207.0,"06 June, 2025"
Louvre,1445,254.0,"06 June, 2025"
Luxembourg,1841,231.0,"06 June, 2025"
Ménilmontant,2512,108.0,"06 June, 2025"
Observatoire,1904,135.0,"06 June, 2025"
Opéra,2775,198.0,"06 June, 2025"
Palais-Bourbon,1632,226.0,"06 June, 2025"
Panthéon,1867,184.0,"06 June, 2025"
Passy,3897,203.0,"06 June, 2025"
Popincourt,4379,140.0,"06 June, 2025"
Reuilly,1996,130.5,"06 June, 2025"
Temple,2662,209.5,"06 June, 2025"
Vaugirard,4162,158.5,"06 June, 2025"
Élysée,2149,279.0,"06 June, 2025"
